	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
0	7wos	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wos_2
1	7wos	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wos_3
2	7woq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7woq_0
3	7wor	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wor_2
4	7wou	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wou_2
5	7wou	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wou_3
6	7wov	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Sun, L., Chen, Z.G.	7wov_4
7	7wov	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Sun, L., Chen, Z.G.	7wov_5
8	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_4
9	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_5
10	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_10
11	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_11
12	7xy8	2.3	X-RAY DIFFRACTION	Homo sapiens; synthetic construct	11/23/22					Nakamura, K., Amano, M., Yoneda, K., Suzuki, M., Fukuchi, K.	7xy8_1
13	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_2
14	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_3
15	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_4
16	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_5
17	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_0
18	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_1
19	7z12	0.0	ELECTRON MICROSCOPY	Homo sapiens; Plasmodium falciparum	11/02/22					Raghavan, S.S.R., Wang, K.T.	7z12_0
20	7y0v	2.48	X-RAY DIFFRACTION	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	09/28/22					Xiao, J.Y., Zhang, Y.	7y0v_0
21	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_5
22	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_0
23	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_1
24	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_2
25	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_3
26	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_4
27	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_5
28	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_0
29	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_1
30	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_2
31	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_3
32	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_4
