	One_digit_id	Chain_pdbff	Number_of_residues	UA_Active_site	UA_Binding_site	UA_Cross-link	UA_DNA_binding	UA_Glycosylation	UA_Intramembrane	UA_Lipidation	UA_Natural_variant	UA_Repeat	UA_Site	UA_Transmembrane	UA_Zinc_finger	Helices[G,H,I]	HelicesPercent[G,H,I]	Strands[E,B]	StrandsPercent[E,B]	Loops[E,B]	LoopsPercent[E,B]	pH_pHcrystal	⟨Z⟩_Complex_pH7	⟨Z⟩_Monomer_pH7	⟨Z⟩_Complex_pHcrystal	⟨Z⟩_Monomer_pHcrystal	⟨Z²⟩-⟨Z⟩²_Complex_pH7	⟨Z²⟩-⟨Z⟩²_Monomer_pH7	⟨Z²⟩-⟨Z⟩²_Complex_pHcrystal	⟨Z²⟩-⟨Z⟩²_Monomer_pHcrystal	⟨μ⟩_Complex_pH7	⟨μ⟩_Monomer_pH7	⟨μ⟩_Complex_pHcrystal	⟨μ⟩_Monomer_pHcrystal	⟨μ²⟩-⟨μ⟩²_Complex_pH7	⟨μ²⟩-⟨μ⟩²_Monomer_pH7	⟨μ²⟩-⟨μ⟩²_Complex_pHcrystal	⟨μ²⟩-⟨μ⟩²_Monomer_pHcrystal	SASA_Complex	SASA_Monomer	SASA_interface	Number_of_glycans	Number_of_modelled_residues
0	1a14_0	A	388	2	10	0	0	3	0	0	0	0	0	0	0	9	0.02	163	0.42	109	0.28	6.7	-7.69	-1.96	-6.55	-0.95	2.71	1.93	3.15	2.25	222.75	129.72	229.67	131.17	859.63	183.62	1141.16	225.42	13916.7	14608.0	691.3	2	0
1	1a14_0	B	224	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	106	0.47	53	0.24	6.7	-7.69	-5.69	-6.55	-5.47	2.71	0.76	3.15	0.82	222.75	104.15	229.67	103.54	859.63	31.1	1141.16	36.49	9440.8	10136.2	695.4	0	0
2	1a2y_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	50	0.39	14	0.11	42	0.33	6.5	11.16	8.22	11.95	8.39	1.25	0.55	1.47	0.63	108.22	42.88	103.77	43.53	368.48	54.19	420.5	58.2	6026.1	6712.9	686.8	0	0
3	1a2y_0	B	223	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	113	0.51	50	0.22	6.5	11.16	3.04	11.95	3.73	1.25	0.75	1.47	0.92	108.22	27.27	103.77	32.19	368.48	46.42	420.5	57.14	9954.5	10614.1	659.6	0	0
4	1adq_0	A	206	0	0	0	0	1	0	0	0	0	0	0	0	18	0.09	86	0.42	41	0.2	7.0	1.59	1.04	1.59	1.04	3.33	1.31	3.33	1.31	149.24	75.67	149.24	75.67	1035.43	375.18	1035.43	375.18	11699.2	12411.1	711.9	0	0
5	1adq_0	B	438	0	0	0	0	0	0	0	0	0	0	0	0	25	0.06	204	0.47	89	0.2	7.0	1.59	0.48	1.59	0.48	3.33	2.24	3.33	2.24	149.24	81.53	149.24	81.53	1035.43	232.83	1035.43	232.83	19871.7	20636.8	765.1	0	0
6	1afv_0	A	151	0	0	0	0	0	0	0	0	0	2	0	0	83	0.55	0	0.0	33	0.22	7.0	0.15	-1.97	0.15	-1.97	2.73	1.3	2.73	1.3	118.13	25.35	118.13	25.35	1496.19	104.24	1496.19	104.24	8344.8	9037.3	692.5	0	0
7	1afv_0	B	437	0	0	0	0	0	0	0	0	0	0	0	0	34	0.08	223	0.51	82	0.19	7.0	0.15	2.05	0.15	2.05	2.73	1.49	2.73	1.49	118.13	63.62	118.13	63.62	1496.19	210.85	1496.19	210.85	18605.8	19333.6	727.8	0	0
8	1ahw_1	A	208	0	0	0	0	2	0	0	3	0	0	0	0	13	0.06	95	0.46	46	0.22	5.6	-6.51	-3.48	-0.12	-2.11	1.87	0.35	3.82	1.43	184.39	110.67	229.61	109.2	2172.06	132.04	3562.93	271.99	10590.7	11554.3	963.6	0	8
9	1ahw_1	B	428	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	211	0.49	83	0.19	5.6	-6.51	-2.86	-0.12	2.17	1.87	1.53	3.82	2.08	184.39	52.74	229.61	58.02	2172.06	190.57	3562.93	268.15	17819.9	18784.8	964.9	0	0
10	1ar1_0	A	252	0	6	0	0	0	0	0	0	0	0	64	0	93	0.37	62	0.25	47	0.19	5.5	-9.1	-10.76	-0.1	-4.71	2.01	1.46	3.47	2.48	356.35	427.0	349.52	412.14	593.55	547.38	1138.61	1151.88	14107.0	14774.3	667.3	0	0
11	1ar1_0	B	226	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	111	0.49	50	0.22	5.5	-9.1	1.52	-0.1	4.53	2.01	0.52	3.47	1.15	356.35	63.77	349.52	68.95	593.55	26.63	1138.61	115.97	9415.7	10119.1	703.4	0	0
12	1bgx_0	A	832	0	0	0	0	0	0	0	0	0	0	0	0	310	0.37	58	0.07	250	0.3	7.4	-5.08	-6.34	-7.69	-8.43	5.21	3.44	4.03	2.24	227.19	132.69	229.65	126.27	5238.97	640.37	4784.4	431.49	36983.5	40036.3	3052.8	0	4
13	1bgx_0	B	419	0	0	0	0	0	0	0	0	0	0	0	0	8	0.02	182	0.43	95	0.23	7.4	-5.08	1.15	-7.69	0.65	5.21	1.78	4.03	1.59	227.19	39.48	229.65	38.8	5238.97	365.73	4784.4	347.36	16730.1	19692.9	2962.8	0	0
14	1bj1_1	A	94	0	0	0	0	1	0	0	0	0	0	0	0	12	0.13	59	0.63	14	0.15	6.0	0.46	-4.86	6.02	-2.69	1.96	0.83	3.48	1.47	384.12	79.4	338.63	83.25	2240.95	92.8	3563.81	105.26	5908.0	6795.0	887.0	0	0
15	1bj1_1	B	437	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	217	0.5	81	0.19	6.0	0.46	5.31	6.02	8.71	1.96	1.2	3.48	2.07	384.12	105.42	338.63	101.29	2240.95	527.99	3563.81	773.99	19239.5	20038.9	799.4	0	6
16	1bql_0	A	129	2	0	0	0	0	0	0	0	0	0	0	0	54	0.42	14	0.11	39	0.3	7.0	8.05	7.22	8.05	7.22	2.6	0.56	2.6	0.56	297.81	37.36	297.81	37.36	2447.54	29.09	2447.54	29.09	5564.6	6385.5	820.9	0	0
17	1bql_0	B	426	0	0	0	0	0	0	0	0	0	0	0	0	27	0.06	204	0.48	88	0.21	7.0	8.05	0.83	8.05	0.83	2.6	1.89	2.6	1.89	297.81	44.36	297.81	44.36	2447.54	300.66	2447.54	300.66	18777.1	19602.4	825.3	0	0
18	1bvk_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	47	0.36	14	0.11	47	0.36	6.5	11.91	7.2	12.37	7.32	1.51	0.56	1.75	0.62	50.1	31.92	50.76	32.2	626.52	46.32	640.16	50.0	5976.6	6701.2	724.6	0	0
19	1bvk_0	B	224	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	112	0.5	55	0.25	6.5	11.91	4.75	12.37	5.15	1.51	1.05	1.75	1.23	50.1	45.06	50.76	42.67	626.52	64.7	640.16	82.24	9787.0	10485.6	698.6	0	0
20	1bzq_3	A	124	2	9	0	0	5	0	0	0	0	0	0	0	26	0.21	44	0.35	30	0.24	6.4	6.41	4.05	7.64	5.13	1.9	1.05	2.04	1.25	98.26	86.01	108.23	82.57	510.7	27.39	655.71	25.35	6412.8	6959.0	546.2	0	0
21	1bzq_3	B	124	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	58	0.47	28	0.23	6.4	6.41	2.46	7.64	2.51	1.9	0.82	2.04	0.82	98.26	24.19	108.23	24.14	510.7	77.81	655.71	77.98	6101.5	6664.4	562.9	0	0
22	1c08_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	51	0.4	14	0.11	42	0.33	7.6	4.52	7.22	4.01	7.1	0.86	0.57	0.8	0.58	185.57	36.94	188.53	36.48	279.12	39.54	222.54	40.88	5513.1	6444.1	931.0	0	0
23	1c08_0	B	221	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	112	0.51	51	0.23	7.6	4.52	-2.7	4.01	-3.03	0.86	0.32	0.8	0.22	185.57	65.22	188.53	66.09	279.12	12.59	222.54	8.3	9412.0	10261.0	849.0	0	0
24	1cz8_0	A	94	0	0	0	0	1	0	0	0	0	0	0	0	12	0.13	59	0.63	15	0.16	6.0	-1.39	-4.87	4.21	-2.72	2.06	0.81	3.48	1.47	358.47	76.82	310.69	80.63	2260.42	84.53	3667.96	98.89	5867.1	6747.6	880.5	0	0
25	1cz8_0	B	431	0	0	0	0	0	0	0	0	0	0	0	0	32	0.07	219	0.51	77	0.18	6.0	-1.39	3.45	4.21	6.99	2.06	1.26	3.48	1.89	358.47	98.34	310.69	90.42	2260.42	463.22	3667.96	689.64	18356.4	19177.8	821.4	0	0
26	1dqj_0	A	129	2	1	0	0	0	0	0	2	0	0	0	0	50	0.39	14	0.11	44	0.34	4.6	6.16	7.21	19.48	9.19	2.14	0.56	5.55	1.42	303.85	39.96	223.48	41.95	1647.18	43.17	3133.26	125.49	5653.6	6563.4	909.8	0	0
