One_digit_id,Epitope_Convergence_Group_Interface_G_100_epi_SG100AB,Epitope_Convergence_Group_Interface_G_100_epi_SG95AB,Epitope_Convergence_Group_Interface_G_100_epi_SG80AB,Epitope_Convergence_Group_Interface_G_95_epi_SG100AB,Epitope_Convergence_Group_Interface_G_95_epi_SG95AB,Epitope_Convergence_Group_Interface_G_95_epi_SG80AB
7wos_2,-1,-1,-1,-1,-1,-1
7woq_0,-1,-1,-1,-1,-1,-1
7wor_2,-1,-1,-1,-1,-1,-1
7wos_3,-1,-1,-1,-1,-1,-1
7wou_2,-1,-1,-1,-1,-1,-1
7wou_3,-1,-1,-1,-1,-1,-1
7wov_4,-1,-1,-1,-1,-1,-1
7wov_5,-1,-1,-1,-1,-1,-1
7wow_4,-1,-1,-1,-1,-1,-1
7wow_5,-1,-1,-1,-1,-1,-1
7xy8_1,-1,-1,-1,-1,-1,-1
7ugp_2,-1,-1,-1,-1,-1,-1
7ugp_0,-1,-1,-1,-1,-1,-1
7ugp_1,-1,-1,-1,-1,-1,-1
7ugp_3,-1,-1,-1,-1,-1,-1
7ugp_4,-1,-1,-1,-1,-1,-1
7ugp_5,-1,-1,-1,-1,-1,-1
7z12_0,-1,-1,-1,-1,-1,-1
7y0v_0,-1,-1,-1,-1,-1,-1
7tjq_0,-1,-1,-1,-1,-1,-1
7tjq_1,-1,-1,-1,-1,-1,-1
7tjq_2,-1,-1,-1,-1,-1,-1
7tjq_5,-1,-1,-1,-1,-1,-1
7tjq_3,-1,-1,-1,-1,-1,-1
7tjq_4,-1,-1,-1,-1,-1,-1
8cw9_0,-1,-1,-1,-1,-1,-1
8cw9_1,-1,-1,-1,-1,-1,-1
8cw9_2,-1,-1,-1,-1,-1,-1
8cw9_3,-1,-1,-1,-1,-1,-1
8cw9_4,-1,-1,-1,-1,-1,-1
8cw9_5,-1,-1,-1,-1,-1,-1
7ye5_0,-1,-1,-1,-1,-1,-1
7ydy_0,-1,-1,-1,-1,-1,-1
7ye9_0,-1,-1,-1,-1,-1,-1
7yeg_0,-1,-1,-1,-1,-1,-1
8hc4_0,-1,-1,-1,-1,-1,-1
8hc4_1,-1,-1,-1,-1,-1,-1
8hc4_2,-1,-1,-1,-1,-1,-1
8hc4_3,-1,-1,-1,-1,-1,-1
8hc4_4,-1,-1,-1,-1,-1,-1
8hc4_5,-1,-1,-1,-1,-1,-1
8zhe_0,-1,-1,-1,-1,-1,-1
8zhf_0,-1,-1,-1,-1,-1,-1
8zhk_2,-1,-1,-1,-1,-1,-1
8zhn_0,-1,-1,-1,-1,-1,-1
8zhn_1,-1,-1,-1,-1,-1,-1
8zhn_2,-1,-1,-1,-1,-1,-1
8zhn_3,-1,-1,-1,-1,-1,-1
8zhn_4,-1,-1,-1,-1,-1,-1
8zhn_5,-1,-1,-1,-1,-1,-1
7ucg_0,-1,-1,-1,-1,-1,-1
7ucg_1,-1,-1,-1,-1,-1,-1
7ucg_2,-1,-1,-1,-1,-1,-1
7ucg_3,-1,-1,-1,-1,-1,-1
7ucg_4,-1,-1,-1,-1,-1,-1
7ucg_5,-1,-1,-1,-1,-1,-1
7ums_0,-1,-1,-1,-1,-1,-1
7vq0_0,-1,-1,-1,-1,-1,-1
6ch9_1,-1,-1,-1,-1,-1,-1
4ypg_1,-1,-1,-1,-1,-1,-1
4z5r_3,-1,-1,-1,-1,-1,-1
6ui1_0,-1,-1,-1,-1,-1,-1
6ui1_1,-1,-1,-1,-1,-1,-1
6ui1_2,-1,-1,-1,-1,-1,-1
6ul6_0,-1,-1,-1,-1,-1,-1
6ul6_1,-1,-1,-1,-1,-1,-1
7n9t_2,-1,-1,-1,-1,-1,-1
3nid_0,1,-1,-1,1,-1,-1
3t3p_1,1,-1,-1,1,-1,-1
3t3m_1,1,-1,-1,1,-1,-1
4z7q_0,1,-1,-1,1,-1,-1
3nif_1,1,-1,-1,1,-1,-1
5wth_0,-1,-1,-1,-1,-1,-1
1kxq_2,-1,-1,-1,-1,-1,-1
1kxt_0,-1,-1,-1,-1,-1,-1
1kxv_0,-1,-1,-1,-1,-1,-1
4p2c_4,-1,-1,-1,-1,-1,-1
7e8c_4,-1,-1,-1,-1,-1,-1
