PDB,One_digit_id,Chains_AG,Chains_AB
1kxq,1kxq_2,A,H
1kxt,1kxt_0,A,B
1rjc,1rjc_0,B,A
1xfp,1xfp_0,L,A
1zv5,1zv5_0,L,A
1zvy,1zvy_0,B,A
2h3n,2h3n_0,B,A
2p43,2p43_0,A,B
2p47,2p47_0,A,B
3eba,3eba_0,B,A
3stb,3stb_0,C,B
4eig,4eig_0,A,B
4i0c,4i0c_0,A,D
4i13,4i13_0,A,B
4i1n,4i1n_0,A,B
4m3k,4m3k_0,A,B
4n1e,4n1e_7,J,D
4n9o,4n9o_0,A,B
4nbx,4nbx_0,A,B
4nc2,4nc2_0,A,B
4qo1,4qo1_0,B,A
4w6y,4w6y_0,A,B
4x7c,4x7c_1,B,D
4x7d,4x7d_1,A,D
4y7m,4y7m_1,C,A
5iml,5iml_0,A,B
5j1s,5j1s_0,A B,C
5j1t,5j1t_0,A B,C
5j57,5j57_0,A,B
5jds,5jds_0,A,B
5m14,5m14_0,A,C
5m2i,5m2i_1,A,H
5m2m,5m2m_4,B,D
5mwn,5mwn_1,B,D
5o02,5o02_0,A,C
5o04,5o04_3,B,E
6dbf,6dbf_0,A,B
6ey0,6ey0_0,B,F
6ey6,6ey6_5,B,J
6f5g,6f5g_0,A,B
6fv0,6fv0_0,A,F
6h1f,6h1f_0,B,A
6h70,6h70_1,A,D
6h72,6h72_1,A,C
6h7n,6h7n_1,A,C
6hjx,6hjx_1,B,G
6jb2,6jb2_0,B,A
6jb8,6jb8_0,B,A
6obc,6obc_0,A,B
6obe,6obe_0,A,B
6obm,6obm_0,A,B
6obo,6obo_0,B,D
6oq7,6oq7_0,A,C
6rty,6rty_0,A,B
6sge,6sge_0,A,D
6zbp,6zbp_0,E,F
7aqx,7aqx_0,A,C
7b5g,7b5g_0,A,B
7c8v,7c8v_0,B,A
7eow,7eow_0,A,B
7fau,7fau_1,C,D
7kbk,7kbk_0,A B,C
7kgj,7kgj_0,A,B
7mfu,7mfu_0,A,B
7n0i,7n0i_2,A B,I
7nbb,7nbb_0,A B C,D
7nfq,7nfq_0,B,D
7nxx,7nxx_0,A,B
7o0s,7o0s_0,B,A
7oao,7oao_0,E,F
7oau,7oau_0,A,B
7oay,7oay_1,A,B
7ozt,7ozt_0,B,A
7qbf,7qbf_0,A,B
7r1z,7r1z_0,A,C
7r1z,7r1z_1,A,E
7tgi,7tgi_0,A,B
7th2,7th2_0,A,C
7uby,7uby_1,A,C
7vke,7vke_0,A,B
7vnb,7vnb_0,B,A
7w1s,7w1s_0,A,B
7wd1,7wd1_0,B,C
7x2k,7x2k_1,E,B
7x2l,7x2l_0,E,B
7xld,7xld_0,A,B
7xli,7xli_0,A,B
7xtp,7xtp_0,A,C
7z1d,7z1d_0,E,F
7zau,7zau_0,A,B
7zmm,7zmm_2,A,K
7zmv,7zmv_1,A,G
7zxu,7zxu_0,E,A
8a67,8a67_0,A B C,D
8aok,8aok_0,A,B
8apy,8apy_0,A,C
8c5h,8c5h_0,S,N
8emy,8emy_0,A,G
8emz,8emz_0,A,B
8en1,8en1_0,A,C
8en3,8en3_0,A,C
8en4,8en4_0,B,C
8en5,8en5_2,C,G
8en6,8en6_0,A,C
8et0,8et0_0,A,C
8f6v,8f6v_0,C,A
8gz5,8gz5_0,A,B
8h63,8h63_0,A,B
8h64,8h64_1,C,D
8hr2,8hr2_0,A,B
8hr2,8hr2_1,A,C
8k3k,8k3k_0,E,D
8owv,8owv_0,E,B
8owv,8owv_1,E,F
8q6r,8q6r_1,F,B
8q95,8q95_0,A,B
8q95,8q95_1,A,C
8qrg,8qrg_1,E,A
8qz3,8qz3_0,B,C
8rw9,8rw9_0,E,D
8s79,8s79_1,A,D
8w90,8w90_0,B,A
8yj8,8yj8_0,B,D
9fvb,9fvb_0,A,C
9g2a,9g2a_0,A,C
